id,district,block,phc
1,BARPETA,BARPETA ROAD,BARPETA ROAD BPHC
2,BARPETA,BARPETA ROAD,KAMARGAON SD
3,BARPETA,BARPETA ROAD,ODALGURI SD
4,BARPETA,BHAWANIPUR,BHAWANIPUR BPHC
5,BARPETA,BHAWANIPUR,GAREMARI PHC
6,BARPETA,BHAWANIPUR,HOWLY SHC
7,BARPETA,BHAWANIPUR,KAYAKUCHI PHC
8,BARPETA,BHAWANIPUR,SARUTAPA MPHC
9,BARPETA,CHENGA,CHENGA BPHC
10,BARPETA,CHENGA,BAHARI MPHC
11,BARPETA,CHENGA,GOHIA MPHC
12,BARPETA,CHENGA,AMRIKHOWA MPHC
13,BARPETA,CHENGA,KASUMARA SD
14,BARPETA,CHENGA,BYASKUCHI SD
15,BARPETA,CHENGA,KARAIKHAITI RPHC
16,BARPETA,CHENGA,KHOLABANDHA RPHC
17,BARPETA,CHENGA,PUB MAHCHARA RPHC
18,BARPETA,CHENGA,CHATLA
19,BARPETA,KALGACHIA,KALGACHIA BPHC
20,BARPETA,KALGACHIA,ROHA PHC
21,BARPETA,KALGACHIA,TITAPANI MPHC
22,BARPETA,KALGACHIA,CHANDMAMA SD
23,BARPETA,KALGACHIA,ISABPUR RIVERINE PHC
24,BARPETA,KALGACHIA,SORBHOG SHC
25,BARPETA,MANDIA,Moinbari MPHC
26,BARPETA,MANDIA,Mandia BPHC
27,BARPETA,MANDIA,Jania SD
28,BARPETA,MANDIA,Baghbar PHC
29,BARPETA,MANDIA,Balikuri RPHC
30,BARPETA,MANDIA,Tarakandhi RPHC
31,BARPETA,MANDIA,Kadamtola RPHC
32,BARPETA,MANDIA,Baghmarachar RPHC
33,BARPETA,MANDIA,Alopati MPHC
34,BARPETA,NAGAON,AMDAH MPHC
35,BARPETA,NAGAON,BHELLA MPHC
36,BARPETA,NAGAON,KAWAIMARI SD
37,BARPETA,NAGAON,KEOTKUCHI MPHC
38,BARPETA,NAGAON,NAGAON BPHC
39,BARPETA,NAGAON,NASATRA PHC
40,BARPETA,NITYANANDA,NITYANANDA BPHC
41,BARPETA,NITYANANDA,BARBANG MPHC
42,BARPETA,NITYANANDA,BARHAMCHARI MPHC
43,BARPETA,NITYANANDA,AKAYA MPHC
44,BARPETA,NITYANANDA,PATACHARKUCHI MPHC
45,BARPETA,NITYANANDA,HELONA MPHC
46,BARPETA,NITYANANDA,SADERI SD
47,BARPETA,NITYANANDA,PUTHIMARI MPHC
48,BARPETA,NITYANANDA,CHEKI MPHC
49,BARPETA,NITYANANDA,DHEMSA MPHC
50,BARPETA,NITYANANDA,SARUPETA MPHC
51,BARPETA,NITYANANDA,GOMURA MPHC
52,BAKSA,Jalah,Jalah PHC
53,BAKSA,Jalah,Salbari MPHC
54,BAKSA,Jalah,Saudarvitha MPHC
55,BAKSA,Jalah,Charna Bajar MPHC
56,BAKSA,Jalah,Sarumanikpur SD
57,BAKSA,Jalah,Nimua MPHC
58,BAKSA,Jalah,Majorgoan PHC
59,Baksa,Barama BPHC,Barama PHC
60,Baksa,Barama BPHC,BARIMAKHA SD
61,Baksa,Barama BPHC,DEBASARA SD
62,Baksa,Barama BPHC,DIGHELI SD
63,Baksa,Barama BPHC,MEDAGHAT MPHC
64,BAKSA,Nizkaurbaha,Nizkaurbaha BPHC
65,BAKSA,Nizkaurbaha,Naokata MPHC
66,BAKSA,Nizkaurbaha,Goreswar MPHC 
67,BAKSA,Nizkaurbaha,Sonmahari MPHC
68,BAKSA,Nizkaurbaha,Uttar Betna SD
69,BAKSA,Nizkaurbaha,Dwarkuchi SD
70,BAKSA,Mushalpur,Adalbari SD
71,BAKSA,Mushalpur,Angardhowa MPHC
72,BAKSA,Mushalpur,Athiabari SD
73,BAKSA,Mushalpur,Baganpara MPHC
74,BAKSA,Mushalpur,Barbari MPHC
75,BAKSA,Mushalpur,Dighaldonga MPHC
76,BAKSA,Mushalpur,Karemura SD
77,BAKSA,Mushalpur,Nikashi SD
78,BAKSA,Mushalpur,Pamuapathar SHC
79,BAKSA,Mushalpur,Subankhata SD
80,BAKSA,Mushalpur,Thamna MPHC
81,BAKSA,Mushalpur,Mushalpur BPHC
82,BAKSA,Tamulpur,Kumarikata State Dispensary
83,BAKSA,Tamulpur,Khatarbari SD
84,BAKSA,Tamulpur,Tamulpur PHC
85,BAKSA,Tamulpur,Kachukata MPHC
86,BAKSA,Tamulpur,Gandhibari MPHC
87,BAKSA,Tamulpur,Kalakuchi PHC
88,BAKSA,Golagaon,Golagaon 
89,BAKSA,Golagaon,Koklabari
90,BAKSA,Golagaon,Jalagaon
91,BAKSA,Golagaon,Betbari
92,BAKSA,Golagaon,Anchali
93,CACHAR,Bikrampur,Bikrampur PHC
94,CACHAR,Bikrampur,Fulbari MPHC
95,CACHAR,Bikrampur,Gonirgram SD
96,CACHAR,Bikrampur,Sibtilla MPHC
97,CACHAR,Borkhola,Borkhola PHC
98,CACHAR,Borkhola,Salchapra MPHC
99,CACHAR,Borkhola,Chibitabichia MPHC
100,CACHAR,Borkhola,Rajnagar MPHC
101,CACHAR,Borkhola,Kalinagar( Kumar Tilla)
102,CACHAR,Dholai,Dholai
103,CACHAR,Dholai,Narsingpur
104,CACHAR,Dholai,Borjalenga
105,CACHAR,Dholai,Bidyaratanpur
106,CACHAR,Dholai,Hawaithang
107,CACHAR,HARINAGAR,HARINAGAR PHC
108,CACHAR,HARINAGAR,JOYPUR SHC
109,CACHAR,Jalalpur ,Jalalpur PHC
110,CACHAR,Jalalpur ,Katigorah MPHC
111,CACHAR,Lakhipur,LAKHIPUR BPHC
112,CACHAR,Lakhipur,BANSKANDI MPHC
113,CACHAR,Lakhipur,JIRIGHAT MPHC
